table,lev,time,kuski
6,36,"1:04,57",Jokke
6,37,"1:01,83",DMC
6,38,"33,89",Stene
6,39,"45,41",Garion
6,40,"1:30,85",loX
6,41,"40,88",KingKong
6,42,"51,68",Jokke
6,43,"1:02,59",Karlis
6,44,"33,71",Joni
6,45,"33,85",zyntifox
6,46,"1:10,11",zeth
6,47,"27,08",zeth
6,48,"54,77",Joni
6,49,"44,39",Joni
6,50,"1:01,13",loX
6,51,"58,00",Fulgore
6,52,"26,92",Rainman
6,53,"18,44",Markku
6,54,"1:56,66",ramone
7,1,"14,37",Stikky
7,2,"16,87",mr
7,3,"20,01",DeG
7,4,"31,96",Champi0N
7,5,"22,35","mengerle [UA]"
7,6,"33,41",Markku
7,7,"35,56",Champi0N
7,8,"22,55",SoGe
7,9,"1:04,52",Dr_Luni
7,10,"13,66",mr
7,11,"26,52",Joni
7,12,"22,84",Gazoline
7,13,"17,64",TuA
7,14,"18,35",DeG
7,15,"1:07,53",zeth
7,16,"1:34,20",Champi0N
7,17,"58,87",YeeS
7,18,"46,79",ZanguiZ
7,19,"40,74",Champi0N
7,20,"1:07,90",Joni
7,21,"15,15",elg
7,22,"42,86",TuA
7,23,"48,23",Jokke
7,24,"1:00,02",Jokke
7,25,"25,11","AnTTiM [HfK]"
7,26,"28,15",psy
7,27,"38,00",Champi0N
7,28,"54,84",Petri
7,29,"49,82",zeth
7,30,"34,56",KingKong
7,31,"1:28,81",KingKong
7,32,"44,27",KingKong
7,33,"1:43,44",Champi0N
7,34,"38,53",Garion
7,35,"2:38,45",loX
7,36,"1:04,57",Jokke
7,37,"1:01,83",DMC
7,38,"33,89",Stene
7,39,"45,41",Garion
7,40,"1:30,85",loX
7,41,"40,88",KingKong
7,42,"51,59",Mandel
7,43,"1:02,59",Karlis
7,44,"33,71",Joni
7,45,"33,85",zyntifox
7,46,"1:10,11",zeth
7,47,"27,08",zeth
7,48,"54,77",Joni
7,49,"44,39",Joni
7,50,"1:01,13",loX
7,51,"57,57",KingKong
7,52,"26,92",Rainman
7,53,"18,44",Markku
7,54,"1:56,66",ramone
8,1,"14,37",Stikky
8,2,"16,87",mr
8,3,"20,01",DeG
8,4,"31,68",Champi0N
8,5,"22,35","mengerle [UA]"
8,6,"33,41",Markku
8,7,"35,56",Champi0N
8,8,"22,55",SoGe
8,9,"1:04,52",Dr_Luni
8,10,"13,66",mr
8,11,"26,52",Joni
8,12,"22,84",Gazoline
8,13,"17,64",TuA
8,14,"18,35",DeG
8,15,"1:07,53",zeth
8,16,"1:34,20",Champi0N
8,17,"58,87",YeeS
8,18,"46,79",ZanguiZ
8,19,"40,20",Champi0N
8,20,"1:06,93",Joni
8,21,"15,15",elg
8,22,"42,86",TuA
8,23,"48,23",Jokke
