table,lev,lev_name,time,kuski
4,27,"Shelf Life","38,00",Champi0N
4,28,"Bounce Back","54,84",Petri
4,29,Headbanger,"49,82",zeth
4,30,Pipe,"34,77",EsEx
4,31,"Animal Farm","1:28,81",KingKong
4,32,"Steep Corner","44,57",KingKong
4,33,Zig-Zag,"1:43,44",Champi0N
4,34,"Bumpy Journey","38,56",Garion
4,35,"Labyrinth Pro","2:38,45",loX
4,36,"Fruit in the Den","1:04,57",Jokke
4,37,Jaws,"1:01,83",DMC
4,38,Curvaceous,"33,89",Stene
4,39,Haircut,"45,77",KingKong
4,40,"Double Trouble","1:30,85",loX
4,41,Framework,"41,04",Garion
4,42,Enduro,"51,71",Mandel
4,43,"He He","1:02,59",Karlis
4,44,Freefall,"33,94","3 Litre"
4,45,Sink,"33,96",mazter
4,46,Bowling,"1:10,11",zeth
4,47,Enigma,"27,08",zeth
4,48,Downhill,"54,77",Joni
4,49,"What the Heck","44,39",Joni
4,50,"Expert System","1:02,33",Markku
4,51,"Tricks Abound","58,00",Fulgore
4,52,"Hang Tight","26,92",Rainman
4,53,Hooked,"18,50",psy
4,54,"Apple Harvest","1:56,66",ramone
5,1,"Warm Up","14,37",Stikky
5,2,"Flat Track","16,88",zyntifox
5,3,"Twin Peaks","20,01",DeG
5,4,"Over and Under","32,14","mengerle [UA]"
5,5,"Uphill Battle","22,41",Ufo
5,6,"Long Haul","33,41",Markku
5,7,"Hi Flyer","35,82",powell
5,8,Tag,"22,55",SoGe
5,9,"Tunnel Terror","1:04,52",Dr_Luni
5,10,"The Steppes","13,86",mr
5,11,"Gravity Ride","26,52",Joni
5,12,"Islands in the Sky","22,84",Gazoline
5,13,"Hill Legend","17,89",LocDog
5,14,Loop-de-Loop,"18,35",DeG
5,15,"Serpents Tale","1:07,53",zeth
5,16,"New Wave","1:35,64",Stene
5,17,Labyrinth,"58,87",YeeS
5,18,Spiral,"46,79",ZanguiZ
5,19,Turnaround,"40,80",Stene
5,20,"Upside Down","1:07,90",Joni
5,21,Hangman,"15,20",elg
5,22,Slalom,"42,86",TuA
5,23,"Quick Round","48,61",Jokke
5,24,"Ramp Frenzy","1:00,02",Jokke
5,25,Precarious,"25,11","AnTTiM [HfK]"
5,26,Circuitous,"28,15",psy
5,27,"Shelf Life","38,00",Champi0N
5,28,"Bounce Back","54,84",Petri
5,29,Headbanger,"49,82",zeth
5,30,Pipe,"34,77",EsEx
5,31,"Animal Farm","1:28,81",KingKong
5,32,"Steep Corner","44,54",Qazz
5,33,Zig-Zag,"1:43,44",Champi0N
5,34,"Bumpy Journey","38,56",Garion
5,35,"Labyrinth Pro","2:38,45",loX
5,36,"Fruit in the Den","1:04,57",Jokke
5,37,Jaws,"1:01,83",DMC
5,38,Curvaceous,"33,89",Stene
5,39,Haircut,"45,49",Garion
5,40,"Double Trouble","1:30,85",loX
5,41,Framework,"41,04",Garion
5,42,Enduro,"51,68",Jokke
5,43,"He He","1:02,59",Karlis
5,44,Freefall,"33,94","3 Litre"
5,45,Sink,"33,85",zyntifox
5,46,Bowling,"1:10,11",zeth
5,47,Enigma,"27,08",zeth
5,48,Downhill,"54,77",Joni
5,49,"What the Heck","44,39",Joni
5,50,"Expert System","1:02,33",Markku
5,51,"Tricks Abound","58,00",Fulgore
5,52,"Hang Tight","26,92",Rainman
5,53,Hooked,"18,44",Markku
